congruency,veracity,ano_true_false_unsure,said_yes,prop_yes,ResponseId,Group,Condition
congruent,True,unsure,2,0.4,R_eVtw1nioBVx8GNb,Belief,Forced
incongruent,False,false,0,0.0,R_eVtw1nioBVx8GNb,Belief,Forced
incongruent,True,false,1,0.5,R_eVtw1nioBVx8GNb,Belief,Forced
incongruent,True,unsure,0,0.0,R_eVtw1nioBVx8GNb,Belief,Forced
congruent,False,false,1,0.125,R_2sdlQaE5nHtwUid,Belief,Control
congruent,False,unsure,0,0.0,R_2sdlQaE5nHtwUid,Belief,Control
congruent,True,false,1,0.5,R_2sdlQaE5nHtwUid,Belief,Control
congruent,True,true,1,0.3333333333333333,R_2sdlQaE5nHtwUid,Belief,Control
congruent,True,unsure,2,0.4,R_2sdlQaE5nHtwUid,Belief,Control
incongruent,False,false,0,0.0,R_2sdlQaE5nHtwUid,Belief,Control
incongruent,True,false,2,1.0,R_2sdlQaE5nHtwUid,Belief,Control
incongruent,True,unsure,3,0.375,R_2sdlQaE5nHtwUid,Belief,Control
congruent,False,false,1,0.125,R_1LGULXbBnpf3OVF,Share,Control
congruent,False,unsure,0,0.0,R_1LGULXbBnpf3OVF,Share,Control
congruent,True,false,0,0.0,R_1LGULXbBnpf3OVF,Share,Control
congruent,True,true,2,0.6666666666666666,R_1LGULXbBnpf3OVF,Share,Control
congruent,True,unsure,1,0.2,R_1LGULXbBnpf3OVF,Share,Control
incongruent,False,false,3,0.3,R_1LGULXbBnpf3OVF,Share,Control
incongruent,True,false,1,0.5,R_1LGULXbBnpf3OVF,Share,Control
incongruent,True,unsure,1,0.125,R_1LGULXbBnpf3OVF,Share,Control
congruent,False,false,0,0.0,R_3gZAn6xuQOaRhXT,Belief,Optional
congruent,False,unsure,0,0.0,R_3gZAn6xuQOaRhXT,Belief,Optional
congruent,True,false,1,0.5,R_3gZAn6xuQOaRhXT,Belief,Optional
congruent,True,true,3,1.0,R_3gZAn6xuQOaRhXT,Belief,Optional
congruent,True,unsure,1,0.2,R_3gZAn6xuQOaRhXT,Belief,Optional
incongruent,False,false,0,0.0,R_3gZAn6xuQOaRhXT,Belief,Optional
